tweet_id,claim_time,claim_title,claim_triple,user_1_note,user_1_label,user_1_secondary,user_1_confidence,user_1_duration_seconds,re_user_1_label,re_user_1_secondary,re_user_1_confidence,re_user_1_duration_seconds,user_2_note,user_2_label,user_2_secondary,user_2_confidence,user_2_duration_seconds,re_user_2_note,re_user_2_label,re_user_2_secondary,re_user_2_confidence,re_user_2_duration_seconds,user_3_note,user_3_label,user_3_secondary,user_3_confidence,user_3_duration_seconds,re_user_3_label,re_user_3_secondary,re_user_3_confidence,re_user_3_duration_seconds,user_4_note,user_4_label,user_4_secondary,user_4_confidence,user_4_duration_seconds,re_user_4_note,re_user_4_label,re_user_4_secondary,re_user_4_confidence,re_user_4_duration_seconds,user_5_note,user_5_label,user_5_secondary,user_5_confidence,user_5_duration_seconds,re_user_5_note,re_user_5_label,re_user_5_secondary,re_user_5_confidence,re_user_5_duration_seconds,user_6_note,user_6_label,user_6_secondary,user_6_confidence,user_6_duration_seconds,re_user_6_note,re_user_6_label,re_user_6_secondary,re_user_6_confidence,re_user_6_duration_seconds,representative
1.5329618749455e+18,2021-01-29,Disinfo: Americans and Europeans sent Navalny back to Russia to divert attention,"Americans, sent, Navalny back to Russia to divert attention",does imply that Navalnys return does divert attention but no implication of intent,other,misinfo,4.0,45.034,other,,4.0,15.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.5337197176341e+18,2022-11-18,Disinfo: Kyiv and the West shot down flight MH17 in attempt to kill Putin or discredit Russia,"Kyiv, attempted to discredit, Russia",,other,,5.0,19.973,other,,4.0,44.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.61792711547069e+18,2020-09-16,Disinfo: Western involvement is clearly seen on the colour revolution of Belarus,"Western involvement, is clearly seen, on the colour revolution of Belarus",,misinfo,other,4.0,26.726,misinfo,,4.0,23.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.51278535020851e+18,2019-03-29,Disinfo: France and Belgium to stage chemical attack in Syria,"Belgium, to stage, chemical attack in Syria",,other,,5.0,8.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.51096340560309e+18,2021-05-28,Disinfo: The White Helmets and terrorists are preparing a chemical attack in Syria's Idlib,"The White Helmets, are preparing, a chemical attack in Syria's Idlib",,misinfo,,5.0,23.501,misinfo,other,3.0,8.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.54295407668977e+18,2019-05-23,"Disinfo: No proof of Russian involvement in US elections, Salisbury poisoning","Russian involvement, not proved to be in, Salisbury poisoning","nothing is ""proven"" but the tweet seems to imply that russia did do these things which would contradict",other,debunk,3.0,71.948,debunk,,4.0,17.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.5048466859015e+18,2021-01-20,"Disinfo: The US is collapsing, it is no longer neither a country nor a nation","The US, is, collapsing",,misinfo,,5.0,7.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.62127989628169e+18,2021-05-06,"Disinfo: Euromaidan coup led to Crimea referendum, civil war in Donbas","Euromaidan coup, led to, Crimea referendum",disinfo is mentioned in the tweet so it contradicts,debunk,,5.0,74.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.53177239436015e+18,2018-03-08,Disinfo: British lab untrustworthy or complicit,"British lab, is, complicit",kind of if you assume british politicians are complicit for what british labs do,misinfo,other,3.0,40.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.50617239977511e+18,,Disinfo: US might be developing weaponised insects,"US, might be developing, weaponised insects",,other,,5.0,12.933,other,,5.0,86.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.58174842493161e+18,2016-09-20,Disinfo: Sending an OSCE military policing mission to eastern Ukraine is unrealistic,"Sending an OSCE military policing mission targetting Ukraine, is, unrealistic",,other,,5.0,21.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.50697106367829e+18,2019-03-11,"Disinfo: US-led coalition strike in Syria targets civilians, killing 50","US-led coalition, targets, civilians in Syria",,other,,5.0,25.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.50447136114565e+18,2021-02-08,Disinfo: Josep Borrell doesn't have a freedom to choose an independent political course,"Josep Borrell, doesn't have, a freedom to choose an independent political course",,other,,4.0,21.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.51204027438585e+18,2020-03-05,Disinfo: The freedom of speech is purged from Western media outlets,"Western media outlets, have purged, the freedom of speech",,other,debunk,3.0,24.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.58455584705284e+18,2017-02-13,Disinfo: Kyiv’s armed forces have been using weapons of mass destruction...,"Kyiv's armed forces, have been using, weapons of mass destruction",,misinfo,other,4.0,29.286,misinfo,,4.0,23.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.51973184377121e+18,2023-03-31,Disinfo: Romania is preparing the annexation of several parts of Ukraine,"Romania, is preparing, the annexation of several parts of Ukraine",,misinfo,,4.0,63.061,other,misinfo,2.0,28.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.5057986765305e+18,2021-04-16,Disinfo: Donbas war is an internal Ukrainian conflict,"Donbas war, is, an internal Ukrainian conflict",,misinfo,,5.0,15.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.63351601899493e+18,2017-12-22,Disinfo: Danish zoo collecting people's unwanted house pets as feed for carnivores,"people's unwanted house pets, used as, feed for carnivores",,other,,5.0,15.173,other,,5.0,99.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.51216486142956e+18,2019-03-29,Disinfo: France and Belgium to stage chemical attack in Syria,"France, to stage, chemical attack in Syria",,other,,4.0,62.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.52489530903731e+18,2023-01-13,"Disinfo: France, and other Western countries will face war crimes charges in Donetsk","France, will face, war crimes charges in Donetsk",,other,,4.0,28.403,other,,5.0,17.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.53985868046363e+18,2020-01-14,"Disinfo: PS752: Iranian elites attempt to betray Iraq, Syria, Palestine and their own people","Iranian elites, attempt to betray, Syria",Depends on what is meant by “the country”,debunk,misinfo,3.0,40.024,other,,4.0,13.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n
1.62554243261911e+18,2019-11-14,"Disinfo: 2014 coup in Kyiv led to Crimea referendum, Donbas war","2014 coup in Kyiv, led to, Crimea referendum",,misinfo,other,4.0,25.862,misinfo,,4.0,4.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.51137519563404e+18,2020-06-05,Disinfo: The protests in the US is a standoff between Trump and the globalist corporations,"Protests in the US, is, a standoff between Trump and globalist corporations",,other,,5.0,36.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.52019011957098e+18,2020-06-30,Disinfo: The Elites have set up a system of cyber-manipulation to monitor citizens’ communication and prevent the universal awakening of mass political consciousness,"System of cyber-manipulation, to monitor, citizens’ communication",,other,,5.0,325.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.51976275665579e+18,2023-03-31,Disinfo: Romania is preparing the annexation of several parts of Ukraine,"Romania, is preparing, the annexation of several parts of Ukraine",,misinfo,,4.0,27.083,misinfo,,4.0,14.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.54727646940306e+18,2021-01-20,Disinfo: The American establishment is about to be destroyed by a revolution led by the anti-White and anti-American ideologues that it has itself created,"American establishment, is about to be destroyed, by a revolution led by anti-white ideologues",,other,,5.0,416.555,other,,4.0,30.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.51350415356119e+18,2020-06-29,"Disinfo: As a result of the revolt in the US, pro-Trump whites are marked for political, economic, cultural if not physical extermination","Pro-Trump whites, are marked for, economic extermination",,other,,4.0,8.146,other,,5.0,21.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.61752551834113e+18,2021-07-30,Disinfo: Biden’s Justice Department fabricates false accusations against Trump supporters,"Biden’s Justice Department, fabricates, false accusations against Trump supporters",,other,misinfo,4.0,109.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.5753404146594e+18,2020-06-05,Disinfo: The protests in the US is a standoff between Trump and the globalist corporations,"Trump, is involved in, standoff with globalist corporations",,other,,4.0,15.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.50369056123203e+18,2019-02-27,Disinfo: US military in Syria give ISIS militants safe passage in exchange for gold,"US military in Syria, give, safe passage to ISIS militants",,other,,5.0,227.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.59306566153375e+18,2016-01-07,Disinfo: Russian Security Council report warns of downfall of the US...,"Russian Security Council, warns of, downfall of the US",,other,,4.0,23.019,other,,5.0,10.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.59403062545496e+18,2021-01-15,Disinfo: Democrats suppress dissent and violate human rights in the US,"Democrats, violate, human rights in the US",no mention of democrats but seems to suggest that the US violate human rights,misinfo,debunk,2.0,102.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.61911114514655e+18,2018-08-26,Disinfo: ‘Foreign specialists’ may stage chemical attack in Syria to frame Assad,"Chemical attack in Syria, to frame, Assad",the tweet implies that Assad and Putin are the true perpetraitors,debunk,other,2.0,90.461,debunk,other,3.0,22.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.49947387268021e+18,2017-03-27,"Disinfo: US and European allies have invaded / occupied Ukraine, as...","US, have invaded / occupied, Ukraine",,other,,4.0,36.284,other,,4.0,23.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.56313030345114e+18,2019-08-30,Disinfo: Rasputin was killed by the Anglo-Zionist Empire,"Rasputin, was killed by, the Anglo-Zionist Empire",,other,,4.0,17.922,other,,4.0,6.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.55178312895551e+18,2021-06-21,Disinfo: Western politicians attitude towards Sputnik V feeds vaccine hesitancy in Russia,"Western politicians' attitude towards Sputnik V, feeds, vaccine hesitancy in Russia",,other,,4.0,22.103,other,,4.0,71.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.6229755715326e+18,2020-09-28,Disinfo: Russia never meddles in the internal affairs of other countries,"Russia, never meddles in, the internal affairs of other countries",,debunk,other,4.0,210.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.50478972153637e+18,2021-02-02,Disinfo: Foreign diplomats meddle in Russia's sovereign affairs,"Foreign diplomats, meddle in, Russia's sovereign affairs",,other,,4.0,16.344,other,misinfo,4.0,56.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.62877072464616e+18,2020-09-08,Disinfo: Germany's Deep State use Navalny to force Merkel to scrap Nord Stream 2,"Germany's Deep State, use, Navalny to force scrapping of Nord Stream 2",what,other,,5.0,13.749,other,,4.0,10.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.50646521095304e+18,2020-08-29,Disinfo: Queensland mass murderer was trained in Ukraine,"Queensland mass murderer, was trained in, Ukraine",,misinfo,other,3.0,37.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.57738413191014e+18,,Disinfo: Neo-liberals nominate women as opposition leaders,"Neo-liberals, nominate, women as opposition leaders",,other,,5.0,29.394,other,,5.0,17.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
1.51624461556903e+18,2020-10-05,Disinfo: Italy and other states have deliberately used the COVID-19 pandemic to establish sanitary dictatorships,"Italy, have deliberately used, the COVID-19 pandemic to establish sanitary dictatorships",,other,,5.0,20.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
